WKT,cell_id,NAME,STATE_NAME,contiguity,core_area,disjunct_den,division,Edge Density,gyrate,near_neighbor_dist,Patch Density,Total Edge,total_Class_Area,total_Patch_Area
"POLYGON ((1315705.73939089 2188581.55403144,1317315.08339089 2188581.55403144,1317315.08339089 2186972.21003144,1315705.73939089 2186972.21003144,1315705.73939089 2188581.55403144))",521,Crawford,Pennsylvania,32.7554551540783,136.541008563439,2.24466891133558,0.582866714280856,43.4343434343434,95.0125410793544,0,1.87055742611298,11610,248.67,132.753677863798
"POLYGON ((1317315.08339089 2188581.55403144,1318924.42739089 2188581.55403144,1318924.42739089 2186972.21003144,1317315.08339089 2186972.21003144,1317315.08339089 2188581.55403144))",522,Crawford,Pennsylvania,55.9488485459328,114.853454005557,2.61878039655817,0.796805994853133,55.7800224466891,73.21887789807,0,2.99289188178077,14910,242.46,105.597026666507
"POLYGON ((1318924.42739089 2188581.55403144,1320533.77139089 2188581.55403144,1320533.77139089 2186972.21003144,1318924.42739089 2186972.21003144,1318924.42739089 2188581.55403144))",523,Crawford,Pennsylvania,49.0976491195455,126.169966436135,2.66727632982777,0.694481725158578,50.4115226337449,68.3144741318144,0,2.28623685413809,13230,243.27,116.622240507954
"POLYGON ((1320533.77139089 2188581.55403144,1322143.11539089 2188581.55403144,1322143.11539089 2186972.21003144,1320533.77139089 2186972.21003144,1320533.77139089 2188581.55403144))",524,Crawford,Pennsylvania,4.36336869837507,122.131608868783,2.99289188178077,0.657167976056865,46.8013468013468,50.2455557047347,0,1.87055742611298,12510,249.39,110.068522933654
"POLYGON ((1322143.11539089 2188581.55403144,1323752.45939089 2188581.55403144,1323752.45939089 2186972.21003144,1322143.11539089 2186972.21003144,1322143.11539089 2188581.55403144))",525,Crawford,Pennsylvania,58.2577121937295,122.647513063565,2.24466891133558,0.68945152988924,43.5465768799102,88.2728395408146,18.7948668065063,2.24466891133558,11640,249.21,117.147044367938
"POLYGON ((1323752.45939089 2188581.55403144,1325361.80339089 2188581.55403144,1325361.80339089 2186972.21003144,1323752.45939089 2186972.21003144,1323752.45939089 2188581.55403144))",526,Crawford,Pennsylvania,103.911461675423,157.688034603247,6.0966316110349,0.827782035070685,85.9625057155921,119.915458614974,19.6827431787739,4.95351318396586,22560,225.27,148.610078744523
"POLYGON ((1325361.80339089 2188581.55403144,1326971.14739089 2188581.55403144,1326971.14739089 2186972.21003144,1325361.80339089 2186972.21003144,1325361.80339089 2188581.55403144))",527,Crawford,Pennsylvania,120.880805012564,178.030533296342,4.48933782267116,0.820703442959335,69.023569023569,138.164825508538,27.4510655532662,5.61167227833894,18450,230.13,167.813537075339
"POLYGON ((1326971.14739089 2188581.55403144,1328580.49139089 2188581.55403144,1328580.49139089 2186972.21003144,1326971.14739089 2186972.21003144,1326971.14739089 2188581.55403144))",528,Crawford,Pennsylvania,37.7595922989749,144.82048993938,3.74111485222596,0.633021800496548,47.4747474747475,81.6145805690024,0,2.24466891133558,12690,248.22,136.530549483418
"POLYGON ((1328580.49139089 2188581.55403144,1330189.83539089 2188581.55403144,1330189.83539089 2186972.21003144,1328580.49139089 2186972.21003144,1328580.49139089 2188581.55403144))",529,Crawford,Pennsylvania,0.390432176655097,18.9865937991506,0.762078951379363,0.52401277846459,24.0054869684499,3.71200055219173,0,0.762078951379363,6300,254.16,17.3271208421066
"POLYGON ((1330189.83539089 2188581.55403144,1331799.17939089 2188581.55403144,1331799.17939089 2186972.21003144,1330189.83539089 2186972.21003144,1330189.83539089 2188581.55403144))",530,Crawford,Pennsylvania,74.9662368213413,116.893897402765,1.12233445566779,0.548449137843077,30.6397306397306,91.9673167296293,19.811529142685,1.49644594089039,8190,254.79,114.770741301195
